,id,name,year,rank_year,artists,primary_artist_id,artist_image,artist_genres,duration,explicit,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
2812,1j4kHkkpqZRBwE0A4CN4Yv,Dusk Till Dawn - Radio Edit,2017,13,"['ZAYN', 'Sia']",5ZsFI1h6hIdQRw2ti0hz81,https://i.scdn.co/image/ab6761610000e5eb9fbf7133dfc04d4cd44ccd36,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",239000,False,80,0.258,0.437,11,-6.593,0.039,0.101,1.27e-06,0.106,0.0967,180.043
2813,4iLqG9SeJSnt0cSPICSjxv,Attention,2017,14,['Charlie Puth'],6VuMaDnrHyPL1p4EHjYLi7,https://i.scdn.co/image/ab6761610000e5eb894f1e165ee9c04daa82a5b6,"['dance pop', 'pop', 'viral pop']",211475,False,2,0.774,0.626,3,-4.432,0.0432,0.0969,3.12e-05,0.0848,0.777,100.041
2814,0dXNQ8dckG4eYfEtq9zcva,All Night,2017,15,"['The Vamps', 'Matoma']",7gAppWoH7pcYmphCVTXkzs,https://i.scdn.co/image/ab6761610000e5eb77ef80571a40d9d19cf52208,"['boy band', 'dance pop', 'pop', 'post-teen pop']",197640,False,75,0.538,0.804,8,-5.194,0.0358,0.0041,0.0,0.33,0.507,144.992
2815,39IsH7B5byx8NRlEKlZVg9,Pretty Girl - Cheat Codes X CADE Remix,2017,16,"['Maggie Lindemann', 'CADE', 'Cheat Codes']",0uGk2czvcpWQA383Im6ajf,https://i.scdn.co/image/ab6761610000e5ebae821dce216a1db5b177943d,"['alt z', 'pop', 'post-teen pop', 'social media pop']",193613,True,64,0.703,0.868,7,-4.661,0.0291,0.15,0.132,0.104,0.733,121.03
2816,21TdkDRXuAB3k90ujRU1et,Cold (feat. Future),2017,17,"['Maroon 5', 'Future']",04gDigrS5kc9YWfZHwBETP,https://i.scdn.co/image/ab6761610000e5eb288ac05481cedc5bddb5b11b,"['pop', 'pop rock']",234308,True,0,0.697,0.716,9,-6.288,0.113,0.118,0.0,0.0424,0.506,99.905
2817,76cy1WJvNGJTj78UqeA5zr,IDGAF,2017,18,['Dua Lipa'],6M2wZ9GZgrQXHCFfjv46we,https://i.scdn.co/image/ab6761610000e5ebd42a27db3286b58553da8858,"['dance pop', 'pop', 'uk pop']",217946,True,78,0.836,0.544,7,-5.975,0.0943,0.0403,0.0,0.0824,0.51,97.028
2818,0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,2017,19,['Bruno Mars'],0du5cEVh5yTK9QJze8zA0C,https://i.scdn.co/image/ab6761610000e5ebdbbfc76f7c80126138dcd1a1,"['dance pop', 'pop']",206693,False,81,0.853,0.56,1,-4.961,0.0406,0.013,0.0,0.0944,0.86,134.066
2819,79cuOz3SPQTuFrp8WgftAu,There's Nothing Holdin' Me Back,2017,20,['Shawn Mendes'],7n2wHs1TKAczGzO7Dd2rGr,https://i.scdn.co/image/ab6761610000e5eb92df88d91dc5a20ed4859963,"['canadian pop', 'dance pop', 'pop', 'viral pop']",199440,False,1,0.857,0.8,2,-4.035,0.0583,0.381,0.0,0.0913,0.966,121.996
2820,5Gu0PDLN4YJeW75PpBSg9p,"Let Me Go (with Alesso, Florida Georgia Line & watt)",2017,21,"['Hailee Steinfeld', 'Alesso', 'Florida Georgia Line', 'WATT']",5p7f24Rk5HkUZsaS3BLG5F,https://i.scdn.co/image/ab6761610000e5eb3b575926851ffbfc337e271b,"['dance pop', 'pop', 'post-teen pop']",174800,False,77,0.664,0.708,8,-4.154,0.0474,0.0337,0.0,0.0841,0.742,103.07
2821,5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,2017,22,['James Arthur'],4IWBUUAFIplrNtaOHcJPRM,https://i.scdn.co/image/ab6761610000e5eb34659ba31866449ae79faa7a,"['pop', 'talent show', 'uk pop']",211466,False,85,0.358,0.557,10,-7.398,0.059,0.695,0.0,0.0902,0.494,85.043
2822,6uBhi9gBXWjanegOb2Phh0,Stay,2017,23,"['Zedd', 'Alessia Cara']",2qxJFvFYMEDqd7ui6kSAcq,https://i.scdn.co/image/ab6761610000e5eb4d531fec3f12650de601e66b,"['complextro', 'dance pop', 'edm', 'electro house', 'electropop', 'german techno', 'pop', 'pop dance', 'tropical house']",210090,False,76,0.69,0.622,5,-5.025,0.0622,0.253,0.0,0.116,0.544,102.04
2823,4LihUZcWy0B6lGLqcJ8u9B,New Rules,2017,24,['Dua Lipa'],6M2wZ9GZgrQXHCFfjv46we,https://i.scdn.co/image/ab6761610000e5ebd42a27db3286b58553da8858,"['dance pop', 'pop', 'uk pop']",212000,False,61,0.763,0.72,9,-5.181,0.0691,0.00261,1.11e-05,0.114,0.592,116.01
2824,0Zxswuv5xzIhxDnsKJLq82,Mercy,2017,25,['Shawn Mendes'],7n2wHs1TKAczGzO7Dd2rGr,https://i.scdn.co/image/ab6761610000e5eb92df88d91dc5a20ed4859963,"['canadian pop', 'dance pop', 'pop', 'viral pop']",208733,False,0,0.561,0.674,4,-4.882,0.0818,0.118,0.0,0.111,0.383,148.127
2825,6EpRaXYhGOB3fj4V2uDkMJ,Strip That Down,2017,26,"['Liam Payne', 'Quavo']",5pUo3fmmHT8bhCyHE52hA6,https://i.scdn.co/image/ab6761610000e5eb6b873bf2d3bc2ed6401325c4,"['dance pop', 'pop', 'post-teen pop']",204502,False,1,0.869,0.485,6,-5.595,0.0545,0.246,0.0,0.0765,0.527,106.028
